id,name,organization,title,doi,metadata_created,metadata_modified,license_title
274213f7-2a33-4b2d-aab9-43c59edca87f,rdr-doi-10-35097-1356,radar,"Supplementary research data for the thesis ""comprehensive insights into the impedimetric characterization of dielectric thin films""",10.35097/1356,2023-08-04T08:50:36.446311,2023-08-04T09:31:17.880853,CC BY 4.0 Attribution
39ffb39e-f115-4ff7-af9a-59662df3797a,rdr-doi-10-35097-1357,radar,Surfaced and suspended plastic: cup_pp_100_v1 (videos),10.35097/1357,2023-08-04T08:50:37.193163,2023-08-04T09:31:18.200714,CC BY-SA 4.0 Attribution-ShareAlike
e887b6f4-d768-4267-8dfa-9c0d43155ae0,rdr-doi-10-35097-1358,radar,Surfaced and suspended plastic: cup_pp_100_v2 (videos),10.35097/1358,2023-08-04T08:50:37.070659,2023-08-04T09:31:18.129859,CC BY-SA 4.0 Attribution-ShareAlike
d937bd82-b62e-4e67-a181-a9697fb83f81,rdr-doi-10-35097-1359,radar,Transformation kinetics of libh$_{4}$–mgh$_{2}$ for hydrogen storage,10.35097/1359,2023-08-04T08:50:37.315174,2023-08-04T09:31:18.268086,CC BY-NC 4.0 Attribution-NonCommercial
d8719968-e345-49b4-b2e0-9a07df641680,rdr-doi-10-35097-1360,radar,Surfaced and suspended plastic: cup_pp_100_v3 (videos),10.35097/1360,2023-08-04T08:50:37.580910,2023-08-04T09:31:18.390950,CC BY-SA 4.0 Attribution-ShareAlike
0f819f99-d431-47e1-9450-4509a40e1a6f,rdr-doi-10-35097-1361,radar,Surfaced and suspended plastic: cup_pp_100_v4 (videos),10.35097/1361,2023-08-04T08:50:37.439214,2023-08-04T09:31:18.324402,CC BY-SA 4.0 Attribution-ShareAlike
f784da03-1c65-4927-8516-4720b373d4b3,rdr-doi-10-35097-1362,radar,Surfaced and suspended plastic: cup_pp_100_v5 (videos),10.35097/1362,2023-08-04T08:50:37.883227,2023-08-04T09:31:18.577415,CC BY-SA 4.0 Attribution-ShareAlike
6b600078-4736-480c-8bb7-eb960264a999,rdr-doi-10-35097-1363,radar,Surfaced and suspended plastic: cup_pp_98_def_v1 (videos),10.35097/1363,2023-08-04T08:50:38.038727,2023-08-04T09:31:18.645172,CC BY-SA 4.0 Attribution-ShareAlike
dbea17a2-3090-486a-bcb6-59184a794b49,rdr-doi-10-35097-1364,radar,Surfaced and suspended plastic: cup_pp_98_def_v2 (videos),10.35097/1364,2023-08-04T08:50:38.389582,2023-08-04T09:31:18.793054,CC BY-SA 4.0 Attribution-ShareAlike
acb97f3a-8c71-4cf8-877d-54d982f9adf7,rdr-doi-10-35097-1365,radar,Surfaced and suspended plastic: cup_pp_98_def_v3 (videos),10.35097/1365,2023-08-04T08:50:38.508358,2023-08-04T09:31:18.861981,CC BY-SA 4.0 Attribution-ShareAlike
d0cf1068-3ef8-4464-98d0-b9086f3c1fd1,rdr-doi-10-35097-1366,radar,Surfaced and suspended plastic: cup_pp_98_def_v4 (videos),10.35097/1366,2023-08-04T08:50:38.642645,2023-08-04T09:31:18.929999,CC BY-SA 4.0 Attribution-ShareAlike
4e076506-e6d5-4aed-9361-d7ce1882d303,rdr-doi-10-35097-1367,radar,Surfaced and suspended plastic: cup_pp_98_def_v5 (videos),10.35097/1367,2023-08-04T08:50:38.760606,2023-08-04T09:31:18.997107,CC BY-SA 4.0 Attribution-ShareAlike
294ab98c-574e-4673-8c4d-e37440b407b1,rdr-doi-10-35097-1368,radar,Tuner-compliant error estimation for mipas: methodology - supplement software and example data,10.35097/1368,2023-08-04T08:50:38.218670,2023-08-04T09:31:18.714713,Other
